Set_ID,Name,Year,Theme,Theme_Group,Subtheme,Category,Packaging,Num_Instructions,Availability,Pieces,Minifigures,Owned,Rating,USD_MSRP,Total_Quantity,Current_Price
8652-1,Enzo Ferrari 1:17,2005,Racers,Racing,Ferrari,Normal,Box,1,Retail,477,,1903,4,,2,160
8653-1,Enzo Ferrari 1:10,2005,Racers,Racing,Ferrari,Normal,Box,1,Retail,1360,,2036,4.1,,0,
8654-1,Scuderia Ferrari Truck,2005,Racers,Racing,Ferrari,Normal,Box,5,Retail,813,6,2815,4.1,79.99,0,
8655-1,RX-Sprinter,2005,Racers,Racing,Tiny Turbos,Normal,Canister,1,Retail,58,,1131,4,,2,15
8656-1,F6 Truck,2005,Racers,Racing,Tiny Turbos,Normal,Canister,1,Retail,47,,1043,3.3,,0,
8657-1,ATR 4,2005,Racers,Racing,Tiny Turbos,Normal,Canister,1,Retail,39,,1091,4,,1,15
8658-1,Big Bling Wheelie,2005,Racers,Racing,Tiny Turbos,Normal,Canister,1,Retail,32,,1104,3.7,,1,15
8713-1,Ultimate BIONICLE Accessory Kit,2005,Bionicle,Constraction,Accessories,Normal,Tub,0,{Not specified},500,,153,0,,0,
8715-1,BIONICLE Exclusive Accessories,2005,Bionicle,Constraction,Accessories,Normal,{Not specified},0,{Not specified},401,,305,0,,1,325
8736-1,Toa Hordika Vakama,2005,Bionicle,Constraction,Toa Hordika,Normal,{Not specified},1,{Not specified},48,,2787,3.9,8.99,9,42.275
8737-1,Toa Hordika Nokama,2005,Bionicle,Constraction,Toa Hordika,Normal,{Not specified},2,{Not specified},48,,2067,4,,0,
8738-1,Toa Hordika Whenua,2005,Bionicle,Constraction,Toa Hordika,Normal,{Not specified},2,{Not specified},48,,2188,3.8,,0,
8739-1,Toa Hordika Onewa,2005,Bionicle,Constraction,Toa Hordika,Normal,{Not specified},2,{Not specified},48,,2057,4,,0,
8740-1,Toa Hordika Matau,2005,Bionicle,Constraction,Toa Hordika,Normal,{Not specified},1,{Not specified},48,,2291,3.9,,1,40
8741-1,Toa Hordika Nuju,2005,Bionicle,Constraction,Toa Hordika,Normal,{Not specified},2,{Not specified},48,,2360,4,,1,65
8742-1,Visorak Vohtarak,2005,Bionicle,Constraction,Visorak,Normal,{Not specified},2,{Not specified},47,,2493,3.8,,1,32
8743-1,Visorak Boggarak,2005,Bionicle,Constraction,Visorak,Normal,{Not specified},2,{Not specified},47,,2181,4,,2,28.3692
